Date,Open,High,Low,Close,Adj Close,Volume
2021-02-16,353.079987,355.359985,352.040009,354.000000,352.582397,1829000
2021-02-17,353.109985,358.170013,351.910004,358.040009,356.606201,2143000
2021-02-18,352.279999,358.200012,352.279999,356.920013,355.490723,1914900
2021-02-19,356.690002,357.929993,354.579987,354.769989,353.349304,1839400
2021-02-22,352.750000,353.290009,348.820007,350.209991,348.807556,2215600
2021-02-23,349.799988,351.000000,342.029999,342.149994,340.779846,3692600
2021-02-24,341.790009,342.500000,337.890015,340.700012,339.335663,3305800
2021-02-25,340.850006,343.000000,333.350006,333.899994,332.562866,3618100
2021-02-26,335.510010,335.890015,330.940002,331.000000,329.674500,3362200
2021-03-01,335.209991,336.000000,331.359985,331.769989,330.441406,4653200
2021-03-02,333.690002,334.690002,328.420013,328.459991,327.144653,4660100
2021-03-03,328.170013,328.420013,323.760010,323.920013,322.622864,4064200
2021-03-04,323.369995,325.600006,315.040009,319.040009,317.762390,5501200
2021-03-05,315.329987,318.429993,307.000000,317.320007,316.049286,8102800
2021-03-08,318.910004,322.329987,310.920013,311.420013,310.172943,4873500
2021-03-09,313.760010,320.279999,312.709991,318.779999,317.503418,5426800
2021-03-10,321.140015,327.390015,317.320007,323.829987,322.533203,4523500
2021-03-11,330.410004,331.250000,326.720001,328.649994,327.333893,4338900
2021-03-12,328.100006,331.630005,325.600006,331.140015,329.813965,3182100
2021-03-15,333.600006,333.679993,327.320007,330.510010,329.186462,3243000
2021-03-16,329.670013,330.029999,326.640015,327.250000,325.939514,3066700
2021-03-17,326.000000,330.500000,324.119995,329.190002,327.871735,2672400
2021-03-18,326.480011,328.140015,322.380005,322.980011,321.686615,2736900
2021-03-19,323.609985,329.250000,322.390015,328.910004,327.592865,4859300
2021-03-22,328.450012,336.170013,328.190002,334.489990,333.150513,4064900
2021-03-23,333.890015,342.510010,333.799988,340.339996,338.977112,3641200
2021-03-24,342.220001,342.510010,336.829987,338.040009,336.686340,3006400
2021-03-25,337.809998,347.779999,337.269989,346.339996,344.953064,4307100
2021-03-26,346.209991,352.459991,344.100006,352.019989,350.610291,3061200
2021-03-29,351.450012,357.769989,351.010010,356.149994,354.723785,3012000
2021-03-30,353.579987,354.769989,348.839996,349.750000,348.349426,2602400
2021-03-31,350.660004,357.450012,349.230011,352.480011,351.068481,2832200
2021-04-01,352.540009,357.320007,351.630005,354.940002,353.518616,2938600
2021-04-05,357.500000,362.670013,356.839996,360.820007,359.375092,2705700
2021-04-06,359.799988,362.799988,359.000000,360.119995,358.677887,2142000
2021-04-07,360.869995,361.459991,357.609985,358.809998,357.373138,1808400
2021-04-08,362.799988,366.019989,359.600006,361.220001,359.773468,2839200
2021-04-09,360.910004,363.709991,359.600006,363.209991,361.755493,1610800
2021-04-12,362.839996,365.250000,361.339996,364.809998,363.349091,1836600
2021-04-13,365.339996,367.299988,364.269989,365.209991,363.747498,1796400
2021-04-14,364.850006,364.850006,362.549988,363.170013,361.715698,1509400
2021-04-15,364.880005,369.549988,364.269989,368.799988,367.323120,1850100
2021-04-16,369.700012,372.799988,368.579987,370.720001,369.235443,2249200
2021-04-19,371.000000,371.529999,368.200012,369.549988,368.070129,1560000
2021-04-20,369.000000,375.359985,368.730011,371.730011,370.241394,2330700
2021-04-21,371.609985,374.579987,371.470001,374.089996,372.591919,1531800
2021-04-22,374.339996,375.440002,370.029999,371.260010,369.773285,2138000
2021-04-23,371.260010,374.850006,370.410004,373.279999,371.785187,1404500
2021-04-26,373.899994,373.899994,368.209991,368.519989,367.044250,2059700
2021-04-27,368.170013,370.959991,365.290009,370.209991,368.727478,1875900
2021-04-28,369.549988,370.500000,368.179993,369.589996,368.109955,1305600
2021-04-29,368.540009,374.709991,368.529999,373.540009,372.841095,1848300
2021-04-30,372.910004,374.160004,371.329987,372.089996,371.393799,2118900
2021-05-03,373.839996,379.619995,372.890015,379.320007,378.610291,2685800
2021-05-04,379.029999,379.230011,373.750000,375.290009,374.587830,2133800
2021-05-05,376.350006,377.519989,372.049988,372.500000,371.803040,1905300
2021-05-06,373.190002,382.940002,373.190002,382.760010,382.043854,2641400
2021-05-07,382.829987,386.450012,382.200012,384.320007,383.600922,1817100
2021-05-10,385.489990,387.890015,381.279999,381.480011,380.766235,1998700
2021-05-11,379.309998,380.920013,376.000000,378.179993,377.472412,1859700
2021-05-12,376.000000,376.940002,371.109985,372.200012,371.503601,2344600
2021-05-13,373.089996,381.440002,371.570007,379.529999,378.819885,2023100
2021-05-14,382.140015,385.820007,380.100006,384.420013,383.700745,1876100
2021-05-17,385.040009,387.049988,382.899994,383.959991,383.241577,1830800
2021-05-18,386.450012,389.450012,382.510010,382.809998,382.093750,1698200
2021-05-19,377.149994,381.730011,376.130005,379.660004,378.949646,1725000
2021-05-20,379.179993,384.519989,378.279999,383.579987,382.862305,1427300
2021-05-21,385.049988,385.350006,380.429993,380.720001,380.007660,1706600
2021-05-24,384.339996,385.760010,381.890015,383.450012,382.732544,1657000
2021-05-25,383.619995,385.739990,382.029999,385.380005,384.658936,1379700
2021-05-26,385.859985,387.750000,385.019989,385.619995,384.898468,1648000
2021-05-27,385.130005,387.769989,383.500000,387.500000,386.774963,4452000
2021-05-28,384.149994,385.309998,377.029999,378.269989,377.562225,4681200
